#menu_name,category,price,kcal,protein,fat,carbohydrate,sodium
牛すき鍋定食ごはんミニ,gyusuki,750,962,38.4,37.7,115.4,7.3
牛すき鍋定食ごはん並盛,gyusuki,780,1100,40.7,38.2,146.7,7.3
牛すき鍋定食ごはん大盛,gyusuki,810,1239,43.1,38.7,178,7.3
牛すき鍋定食（肉2倍盛）ごはんミニ,gyusuki,970,1239,52,59.5,122.1,8.7
牛すき鍋定食（肉2倍盛）ごはん並盛,gyusuki,1000,1377,54.3,60,153.4,8.7
牛すき鍋定食（肉2倍盛）ごはん大盛,gyusuki,1030,1515,56.6,60.4,184.6,8.7
牛・旨辛鍋定食ごはんミニ,gyusuki,820,896,31.2,37.7,109.9,7.8
牛・旨辛鍋定食ごはん並盛,gyusuki,850,1035,33.6,38.2,141.2,7.8
牛・旨辛鍋定食ごはん大盛,gyusuki,880,1173,35.9,38.7,172.5,7.8
牛・旨辛鍋定食（肉2倍盛）ごはんミニ,gyusuki,1040,1173,44.8,59.5,116.6,9.2
牛・旨辛鍋定食（肉2倍盛）ごはん並盛,gyusuki,1070,1311,47.1,60,147.9,9.2
牛・旨辛鍋定食（肉2倍盛）ごはん大盛,gyusuki,1100,1450,49.5,60.5,179.2,9.2
豚・旨辛鍋定食ごはんミニ,gyusuki,850,857,32.3,33.6,108.3,7.8
豚・旨辛鍋定食ごはん並盛,gyusuki,880,996,34.7,34.1,139.6,7.8
豚・旨辛鍋定食ごはん大盛,gyusuki,910,1134,37,34.6,170.8,7.8
豚・旨辛鍋定食（肉2倍盛）ごはんミニ,gyusuki,1100,1095,47,51.3,113.3,9.2
豚・旨辛鍋定食（肉2倍盛）ごはん並盛,gyusuki,1130,1233,49.3,51.8,144.6,9.2
豚・旨辛鍋定食（肉2倍盛）ごはん大盛,gyusuki,1160,1372,51.7,52.2,175.8,9.2
牛すき鍋単品並盛,gyusuki,680,685,33.8,36.8,52.9,7.3
牛すき鍋単品肉2倍盛,gyusuki,900,962,47.4,58.5,59.5,8.7
牛・旨辛鍋単品並盛,gyusuki,750,620,26.6,36.8,47.4,7.8
牛・旨辛鍋単品肉2倍盛,gyusuki,970,896,40.2,58.5,54,9.2
豚・旨辛鍋単品並盛,gyusuki,780,580,27.7,32.7,45.7,7.8
豚・旨辛鍋単品肉2倍盛,gyusuki,1030,818,42.4,50.3,50.7,9.2
牛すき焼き丼ごはん並盛,gyusuki,680,724,21.3,19.3,117.7,4.2
牛すき焼き丼ごはん大盛,gyusuki,710,863,23.6,19.8,149.0,4.2
牛すき焼き丼（肉2倍盛）ごはん並盛,gyusuki,900,959,32.2,35.8,128.3,6.5
牛すき焼き丼（肉2倍盛）ごはん大盛,gyusuki,930,1097,34.5,36.3,159.6,6.5
牛すき焼き丼たまごセットごはん並盛,gyusuki,780,854,30.8,26.7,123.0,7.0
牛すき焼き丼たまごセットごはん大盛,gyusuki,810,992,33.2,27.2,154.3,7.0
牛すき焼き丼たまごセット（肉2倍盛）ごはん並盛,gyusuki,1000,1088,41.7,43.2,133.6,9.3
牛すき焼き丼たまごセット（肉2倍盛）ごはん大盛,gyusuki,1030,1227,44.1,43.7,164.9,9.3
牛すき焼き皿並盛,gyusuki,580,309,14.3,17.9,23.9,4.2
牛すき焼き皿2倍盛,gyusuki,800,544,25.2,34.4,34.5,6.5
牛丼ミニ,gyudon,290,496,15.7,17.2,69.8,1.8
牛丼並盛,gyudon,350,733,22.9,25.0,104.1,2.5
牛丼中盛,gyudon,480,798,28.3,35.7,91.1,3.0
牛丼大盛,gyudon,480,966,30.1,32.5,138.7,3.3
牛丼特盛,gyudon,630,1176,40.4,49.0,143.7,4.4
牛丼メガ,gyudon,780,1458,54.3,71.0,150.9,5.9
食べラー・メンマ牛丼ミニ,gyudon,440,706,17.8,36.7,78.0,3.4
食べラー・メンマ牛丼並盛,gyudon,500,943,25.1,44.6,112.3,4.1
食べラー・メンマ牛丼中盛,gyudon,630,1008,30.4,55.3,99.3,4.6
食べラー・メンマ牛丼大盛,gyudon,630,1176,32.2,52.0,146.9,4.9
食べラー・メンマ牛丼特盛,gyudon,780,1386,42.5,68.5,151.9,6.0
食べラー・メンマ牛丼メガ,gyudon,930,1668,56.4,90.5,159.0,7.5
キムチ牛丼ミニ,gyudon,420,524,17.6,17.5,75.2,3.9
キムチ牛丼並盛,gyudon,480,761,24.8,25.4,109.5,4.7
キムチ牛丼中盛,gyudon,610,826,30.2,36.1,96.4,5.1
キムチ牛丼大盛,gyudon,610,994,32.0,32.8,144.0,5.5
キムチ牛丼特盛,gyudon,760,1204,42.3,49.3,149.1,6.6
キムチ牛丼メガ,gyudon,910,1486,56.2,71.3,156.2,8.1
ねぎ玉牛丼ミニ,gyudon,420,606,23.5,23.7,74.4,2.6
ねぎ玉牛丼並盛,gyudon,480,843,30.7,31.5,108.7,3.3
ねぎ玉牛丼中盛,gyudon,610,909,36.1,42.2,95.7,3.8
ねぎ玉牛丼大盛,gyudon,610,1076,37.9,39.0,143.3,4.1
ねぎ玉牛丼特盛,gyudon,760,1286,48.2,55.5,148.3,5.2
